metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
system.disk.free,gauge,,byte,,The amount of disk space that is free.,1,disk,disk free
system.disk.in_use,gauge,,fraction,,The amount of disk space in use as a fraction of the total.,-1,disk,disk in use
system.disk.read_time_pct,gauge,,percent,,Percent of time spent reading from disk.,0,disk,disk read time pct
system.disk.total,gauge,,byte,,The total amount of disk space.,0,disk,disk total
system.disk.used,gauge,,byte,,The amount of disk space in use.,-1,disk,disk used
system.disk.write_time_pct,gauge,,percent,,Percent of time spent writing to disk.,0,disk,disk write time pct
system.fs.inodes.free,gauge,,inode,,The number of free inodes.,1,disk,inodes free
system.fs.inodes.in_use,gauge,,fraction,,The number of inodes in use as a fraction of the total.,-1,disk,inodes in use
system.fs.inodes.total,gauge,,inode,,The total number of inodes.,0,disk,inodes total
system.fs.inodes.used,gauge,,inode,,The number of inodes in use.,-1,disk,inodes used
